"dataset","creator","type","url"
"test_data","Clemens Schmid","description","https://raw.githubusercontent.com/nevrome/sdsanalysis/master/data-raw/test_data/test_data_description.txt"
"test_data","Clemens Schmid","single_artefacts","https://raw.githubusercontent.com/nevrome/sdsanalysis/master/data-raw/test_data/test_data.csv"
"Bad-Oldesloe_Wolkenwehe","Jan Piet Brozio","description","/home/clemens/sds/sdsdata/Bad-Oldesloe_Wolkenwehe/Bad-Oldesloe_Wolkenwehe_description.txt"
"Bad-Oldesloe_Wolkenwehe","Jan Piet Brozio","multi_artefacts","/home/clemens/sds/sdsdata/Bad-Oldesloe_Wolkenwehe/Bad-Oldesloe_Wolkenwehe_multi.csv"
"Hundisburg_Olbetal","Kay Schmütz","description","/home/clemens/sds/sdsdata/Hundisburg_Olbetal/Hundisburg_Olbetal_description.txt"
"Hundisburg_Olbetal","Kay Schmütz","single_artefacts","/home/clemens/sds/sdsdata/Hundisburg_Olbetal/Hundisburg_Olbetal_single.csv"
"Hundisburg_Olbetal","Kay Schmütz","multi_artefacts","/home/clemens/sds/sdsdata/Hundisburg_Olbetal/Hundisburg_Olbetal_multi.csv"
"Kuesterberg","Kay Schmütz","description","/home/clemens/sds/sdsdata/Kuesterberg/Kuesterberg_description.txt"
"Kuesterberg","Kay Schmütz","single_artefacts","/home/clemens/sds/sdsdata/Kuesterberg/Kuesterberg_single.csv"
"Kuesterberg","Kay Schmütz","multi_artefacts","/home/clemens/sds/sdsdata/Kuesterberg/Kuesterberg_multi.csv"
"Oldenburg_Dannau","Jan Piet Brozio","description","/home/clemens/sds/sdsdata/Oldenburg_Dannau/Oldenburg_Dannau_description.txt"
"Oldenburg_Dannau","Jan Piet Brozio","multi_artefacts","/home/clemens/sds/sdsdata/Oldenburg_Dannau/Oldenburg_Dannau_multi.csv"
"Wangels","Jan Piet Brozio","description","/home/clemens/sds/sdsdata/Wangels/Wangels_description.txt"
"Wangels","Jan Piet Brozio","multi_artefacts","/home/clemens/sds/sdsdata/Wangels/Wangels_multi.csv"
